1	PGS TS Lê Hành
2	Nguyễn Thuỵ Hoàng Yến
3	Nguyễn Thị Tường Vi
4	BS Nguyễn Sinh
6	Nguyễn Phạm Trung Nghĩa
7	BS Phùng Minh Thịnh
8	BS Võ Thành Trung
